,NAME,BIO_LINK,BIRTH-DEATH,POSITION,PARTY,STATE,SESSION,DEGREE,SCHOOL,GRAD_YEAR,SCHOOL_LOC
2,"ABBITT, Watkins Moorman",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000002,1908-1998,Representative,Democrat,VA,91(1969-1970),LL.B.,University of Richmond,1931," Richmond, Va."
3,"ALEXANDER, William Vollie (Bill), Jr.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000103,1934- ,Representative,Democrat,AR,91(1969-1970),B.A.,Rhodes College,1957," Memphis, Tenn."
4,"ALEXANDER, William Vollie (Bill), Jr.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000103,1934- ,Representative,Democrat,AR,91(1969-1970),LL.B.,Vanderbilt University,1960," Nashville, Tenn."
5,"ANDERSON, Glenn Malcolm",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000189,1913-1994,Representative,Democrat,CA,91(1969-1970),B.A.,University of California,1936," Los Angeles, Calif."
6,"ANDERSON, John Bayard",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000195,1922- ,Representative,Republican,IL,91(1969-1970),A.B.,University of Illinois,1942," Urbana, Ill."
7,"ANDERSON, John Bayard",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000195,1922- ,Representative,Republican,IL,91(1969-1970),LL.M.,Harvard University Law School,1949," Cambridge, Mass."
8,"ANNUNZIO, Frank",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000212,1915-2001,Representative,Democrat,IL,91(1969-1970),B.S.,DePaul University,1940," Chicago, Ill."
9,"ANNUNZIO, Frank",http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000212,1915-2001,Representative,Democrat,IL,91(1969-1970),M.A.,DePaul University,1942," Chicago, Ill."
10,"BENNETT, Charles Edward",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000371,1910-2003,Representative,Democrat,FL,91(1969-1970),J.D.,University of Florida,1934," Gainesville, Fla."
11,"BIAGGI, Mario",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000432,1917- ,Representative,Democrat,NY,91(1969-1970),LL.B.,New York Law School,1963,None
12,"BIESTER, Edward George, Jr.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000451,1931- ,Representative,Republican,PA,91(1969-1970),B.A.,Wesleyan University,1952,None
13,"BIESTER, Edward George, Jr.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000451,1931- ,Representative,Republican,PA,91(1969-1970),D.L.,Temple University School of Law ,1955,None
14,"BOLLING, Richard Walker",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000605,1916-1991,Representative,Democrat,MO,91(1969-1970),B.A.,1937,1939, M.A.
15,"BRASCO, Frank James",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000771,1932-1998,Representative,Democrat,NY,91(1969-1970),B.A.,Brooklyn College,1955," Brooklyn, N.Y."
16,"BRASCO, Frank James",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000771,1932-1998,Representative,Democrat,NY,91(1969-1970),L.L.B.,Brooklyn Law School,1957," Brooklyn, N.Y."
17,"BROWN, Clarence J., Jr.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000910,1927- ,Representative,Republican,OH,91(1969-1970),B.A.,Duke University,1947," Durham, N.C."
18,"BURLISON, Bill D.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001113,1931- ,Representative,Democrat,MO,91(1969-1970),B.A.,Southeast Missouri State University,1953,None
19,"BURLISON, Bill D.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001113,1931- ,Representative,Democrat,MO,91(1969-1970),B.S.,same university,1959,None
20,"BURTON, Phillip",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001156,1926-1983,Representative,Democrat,CA,91(1969-1970),B.A.,University of Southern California,1947," Los Angeles, Calif."
21,"BURTON, Phillip",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001156,1926-1983,Representative,Democrat,CA,91(1969-1970),LL.B.,Golden Gate Law School,1952," San Francisco, Calif."
22,"BUTTON, Daniel Evan",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001201,1917-2009,Representative,Republican,NY,91(1969-1970),A.B.,University of Delaware,1938," Newark, Del."
23,"BUTTON, Daniel Evan",http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001201,1917-2009,Representative,Republican,NY,91(1969-1970),M.A.,Columbia University,1939," New York, N.Y."
24,"CAFFERY, Patrick Thomson",http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000017,1932-2013,Representative,Democrat,LA,91(1969-1970),B.A.,University of Southwestern Louisiana,1955,None
25,"CAFFERY, Patrick Thomson",http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000017,1932-2013,Representative,Democrat,LA,91(1969-1970),J.D.,Louisiana State University Law School,1956,None
26,"CHAMBERLAIN, Charles Ernest",http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000275,1917-2002,Representative,Republican,MI,91(1969-1970),B.S.,University of Virginia,1941," Charlottesville, Va."
27,"CHAMBERLAIN, Charles Ernest",http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000275,1917-2002,Representative,Republican,MI,91(1969-1970),LL.B.,University of Virginia Law School,1949," Charlottesville, Va."
28,"CHISHOLM, Shirley Anita",http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000371,1924-2005,Representative,Democrat,NY,91(1969-1970),B.A.,Brooklyn College,1946,None
29,"CHISHOLM, Shirley Anita",http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000371,1924-2005,Representative,Democrat,NY,91(1969-1970),M.A.,Columbia University,1952,None
30,"COLLINS, James Mitchell",http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000638,1916-1989,Representative,Republican,TX,91(1969-1970),B.S.C.,Southern Methodist University,1937," Dallas, Tex.."
31,"COLLINS, James Mitchell",http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000638,1916-1989,Representative,Republican,TX,91(1969-1970),M.B.A.,Northwestern University,1938," Evanston, Ill."
32,"COLLINS, James Mitchell",http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000638,1916-1989,Representative,Republican,TX,91(1969-1970),C.L.U.,American College,1940,None
33,"COLLINS, James Mitchell",http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000638,1916-1989,Representative,Republican,TX,91(1969-1970),M.B.A.,Harvard Business School,1943," Cambridge, Mass."
34,"CONTE, Silvio Ottavio",http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000709,1921-1991,Representative,Republican,MA,91(1969-1970),LL.B.,Boston College Law School,1949," Chestnut Hill, Mass."
35,"CONYERS, John, Jr.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000714,1929- ,Representative,Democrat,MI,91(1969-1970),B.A.,Wayne State University,1957," Detroit, Mich."
36,"CONYERS, John, Jr.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000714,1929- ,Representative,Democrat,MI,91(1969-1970),LL.B.,Wayne State Law School,1958," Detroit, Mich."
37,"CÓRDOVA-DÍAZ, Jorge Luis",http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000775,1907-1994,Resident Commissioner,New Progressive,PR,91(1969-1970),A.B.,Catholic University of America,1928," Washington, DC"
38,"CÓRDOVA-DÍAZ, Jorge Luis",http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000775,1907-1994,Resident Commissioner,New Progressive,PR,91(1969-1970),LL.B.,Harvard University,1931," Cambridge, Mass."
39,"COUGHLIN, Robert Lawrence",http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000807,1929-2001,Representative,Republican,PA,91(1969-1970),A.B.,Yale University,1950," New Haven, Conn."
40,"COUGHLIN, Robert Lawrence",http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000807,1929-2001,Representative,Republican,PA,91(1969-1970),M.B.A.,Harvard University,1954," Cambridge, Mass."
41,"COUGHLIN, Robert Lawrence",http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000807,1929-2001,Representative,Republican,PA,91(1969-1970),LL.B.,Temple University Evening Law School,1958," Philadelphia, Pa."
42,"CRANE, Philip Miller",http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000873,1930-2014,Representative,Republican,IL,91(1969-1970),B.A.,Hillsdale College,1952," Hillsdale, Mich."
43,"CRANE, Philip Miller",http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000873,1930-2014,Representative,Republican,IL,91(1969-1970),M.A.,Indiana University,1961," Bloomington, Ind."
44,"CRANE, Philip Miller",http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000873,1930-2014,Representative,Republican,IL,91(1969-1970),Ph.D.,Indiana University,1963," Bloomington, Ind."
45,"DELLENBACK, John Richard",http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000220,1918-2002,Representative,Republican,OR,91(1969-1970),B.S.,Yale University,1940," New Haven, Conn."
46,"DELLENBACK, John Richard",http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000220,1918-2002,Representative,Republican,OR,91(1969-1970),J.D.,University of Michigan Law School,1949,None
47,"DENNIS, David Worth",http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000241,1912-1999,Representative,Republican,IN,91(1969-1970),A.B.,Earlham College,1933," Richmond, Ind."
48,"DERWINSKI, Edward Joseph",http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000269,1926-2012,Representative,Republican,IL,91(1969-1970),B.S.,Loyola University,1951," Chicago, Ill."
49,"DINGELL, John David, Jr.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000355,1926- ,Representative,Democrat,MI,91(1969-1970),B.S.,Georgetown University,1949," Washington, D.C."
50,"DINGELL, John David, Jr.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000355,1926- ,Representative,Democrat,MI,91(1969-1970),J.D.,Georgetown University Law School,1952," Washington, D.C."
51,"DUNCAN, John James",http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000534,1919-1988,Representative,Republican,TN,91(1969-1970),B.S.,University of Tennessee,1942," Knoxville, Tenn."
52,"DUNCAN, John James",http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000534,1919-1988,Representative,Republican,TN,91(1969-1970),L.L.B.,Cumberland University,1947," Lebanon, Tenn."
53,"ECKHARDT, Robert Christian",http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000035,1913-2001,Representative,Democrat,TX,91(1969-1970),B.A.,University of Texas,1935,None
54,"ECKHARDT, Robert Christian",http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000035,1913-2001,Representative,Democrat,TX,91(1969-1970),LL.B.,University of Texas,1939,None
55,"EDWARDS, Edwin Washington",http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000067,1927- ,Representative,Democrat,LA,91(1969-1970),LL.B.,Louisiana State University,1949," Shreveport, La."
56,"EDWARDS, Edwin Washington",http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000067,1927- ,Representative,Democrat,LA,91(1969-1970),J.D.,Louisiana State University,1969," Shreveport, La."
57,"EDWARDS, William Donlon (Don)",http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000064,1915- ,Representative,Democrat,CA,91(1969-1970),B.A.,Stanford University,1936,None
58,"EDWARDS, William Jackson (Jack)",http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000084,1928- ,Representative,Republican,AL,91(1969-1970),B.S.,University of Alabama,1952," University, Ala."
59,"EDWARDS, William Jackson (Jack)",http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000084,1928- ,Representative,Republican,AL,91(1969-1970),LL.B.,University of Alabama,1954," University, Ala."
60,"ERLENBORN, John Neal",http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000204,1927-2005,Representative,Republican,IL,91(1969-1970),J.D.,Loyola University Law School,1949," Chicago, Ill."
61,"ESCH, Marvin Leonel",http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000213,1927-2010,Representative,Republican,MI,91(1969-1970),A.B.,University of Michigan,1950," Ann Arbor, Mich."
62,"ESCH, Marvin Leonel",http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000213,1927-2010,Representative,Republican,MI,91(1969-1970),M.A.,University of Michigan,1951," Ann Arbor, Mich."
63,"ESCH, Marvin Leonel",http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000213,1927-2010,Representative,Republican,MI,91(1969-1970),Ph.D.,University of Michigan,1959," Ann Arbor, Mich."
64,"FEIGHAN, Michael Aloysius",http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000060,1905-1992,Representative,Democrat,OH,91(1969-1970),A.B.,Princeton University,1931," 1927 and LL.B., Harvard Law School"
65,"FINDLEY, Paul",http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000123,1921- ,Representative,Republican,IL,91(1969-1970),B.A.,Illinois College at Jacksonville,1943,None
66,"FISH, Hamilton, Jr.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000141,1926-1996,Representative,Republican,NY,91(1969-1970),LL.B.,New York University School of Law,1957,None
67,"FLYNT, John James, Jr.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000229,1914-2007,Representative,Democrat,GA,91(1969-1970),A.B.,University of Georgia,1936," Athens, Ga."
68,"FOLEY, Thomas Stephen",http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000239,1929-2013,Representative,Democrat,WA,91(1969-1970),A.B.,University of Washington,1951," Seattle, Wash."
69,"FOLEY, Thomas Stephen",http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000239,1929-2013,Representative,Democrat,WA,91(1969-1970),J.D.,University of Washington Law School,1957,None
70,"FORD, William David",http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000270,1927-2004,Representative,Democrat,MI,91(1969-1970),B.A.,University of Denver,1949,None
71,"FORD, William David",http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000270,1927-2004,Representative,Democrat,MI,91(1969-1970),LL.D.,University of Denver,1951,None
72,"FOREMAN, Edgar Franklin",http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000272,1933- ,Representative,Republican,NM,91(1969-1970),B.S.,New Mexico State University,1955,None
73,"FOUNTAIN, Lawrence H.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000319,1913-2002,Representative,Democrat,NC,91(1969-1970),A.B.,University of North Carolina,1934," Chapel Hill, N.C."
74,"FOUNTAIN, Lawrence H.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000319,1913-2002,Representative,Democrat,NC,91(1969-1970),J.D.,University of North Carolina,1936," Chapel Hill, N.C."
75,"FREY, Louis, Jr.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000381,1934- ,Representative,Republican,FL,91(1969-1970),B.A.,Colgate University,1955," Hamilton, N.Y"
76,"GIBBONS, Sam Melville",http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000153,1920-2012,Representative,Democrat,FL,91(1969-1970),LL.B.,University of Florida,1947," Gainesville, Fla."
77,"GRIFFITHS, Martha Wright",http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000471,1912-2003,Representative,Democrat,MI,91(1969-1970),B.A.,University of Missouri,1934," Columbia, Mo."
78,"GUDE, Gilbert",http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000513,1923-2007,Representative,Republican,MD,91(1969-1970),B.S.,Cornell University,1948,None
79,"GUDE, Gilbert",http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000513,1923-2007,Representative,Republican,MD,91(1969-1970),M.S.,George Washington University,1958,None
80,"HALL, Durward Gorham",http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000049,1910-2001,Representative,Republican,MO,91(1969-1970),A.B.,Drury College,1930," Springfield, Mo."
81,"HALL, Durward Gorham",http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000049,1910-2001,Representative,Republican,MO,91(1969-1970),M.D.,Rush Medical College,1934," Chicago, Ill."
82,"HAMMERSCHMIDT, John Paul",http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000124,1922-2015,Representative,Republican,AR,91(1969-1970),B.S.,Canbourne University,1993," London, England"
83,"HAMMERSCHMIDT, John Paul",http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000124,1922-2015,Representative,Republican,AR,91(1969-1970),M.A.,Canbourne University,1997," London, England"
84,"HANSEN, Orval Howard",http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000175,1926- ,Representative,Republican,ID,91(1969-1970),B.A.,University of Idaho,1950,None
85,"HANSEN, Orval Howard",http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000175,1926- ,Representative,Republican,ID,91(1969-1970),J.D.,George Washington University,1954,None
86,"HARRINGTON, Michael Joseph",http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000230,1936- ,Representative,Democrat,MA,91(1969-1970),B.A.,Harvard University,1958," Cambridge, Mass."
87,"HARRINGTON, Michael Joseph",http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000230,1936- ,Representative,Democrat,MA,91(1969-1970),J.D.,Harvard University School of Law,1961," Cambridge, Mass."
88,"HARSHA, William Howard",http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000281,1921-2010,Representative,Republican,OH,91(1969-1970),A.B.,Kenyon College,1943,None
89,"HARSHA, William Howard",http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000281,1921-2010,Representative,Republican,OH,91(1969-1970),LL.B.,Western Reserve University,1947,None
90,"HARVEY, James",http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000306,1922- ,Representative,Republican,MI,91(1969-1970),LL.B.,University of Michigan Law School,1948,None
91,"HECHLER, Kenneth William",http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000438,1914- ,Representative,Democrat,WV,91(1969-1970),A.B.,Swarthmore College,1935," Swarthmore, Pa."
92,"HECHLER, Kenneth William",http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000438,1914- ,Representative,Democrat,WV,91(1969-1970),A.M.,Columbia University,1936," New York, N.Y."
93,"HECHLER, Kenneth William",http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000438,1914- ,Representative,Democrat,WV,91(1969-1970),Ph.D.,Columbia University,1940," New York, N.Y."
94,"HENDERSON, David Newton",http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000479,1921-2004,Representative,Democrat,NC,91(1969-1970),B.S.,Wallace High School,1938," Wallace, N.C."
95,"HOGAN, Lawrence Joseph",http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000692,1928- ,Representative,Republican,MD,91(1969-1970),B.A.,Georgetown University,1949," Washington, D.C."
96,"HOGAN, Lawrence Joseph",http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000692,1928- ,Representative,Republican,MD,91(1969-1970),J.D.,Georgetown University,1954," Washington, D.C."
97,"HOGAN, Lawrence Joseph",http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000692,1928- ,Representative,Republican,MD,91(1969-1970),M.A.,American University,1965," Washington, D.C."
98,"HORTON, Frank Jefferson",http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000797,1919-2004,Representative,Republican,NY,91(1969-1970),A.B.,Louisiana State University,1941," Baton Rouge, La."
99,"HORTON, Frank Jefferson",http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000797,1919-2004,Representative,Republican,NY,91(1969-1970),LL.B.,Cornell University Law School,1947," Ithaca, N.Y."
100,"HOWARD, James John",http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000840,1927-1988,Representative,Democrat,NJ,91(1969-1970),M.Ed.,Rutgers University,1958," New Brunswick, N.J."
101,"HUNGATE, William Leonard",http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000965,1922-2007,Representative,Democrat,MO,91(1969-1970),A.B.,University of Missouri,1943," Columbia, Mo."
102,"HUNGATE, William Leonard",http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000965,1922-2007,Representative,Democrat,MO,91(1969-1970),LL.B.,Harvard Law School,1948," Cambridge, Mass."
103,"HUNGATE, William Leonard",http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000965,1922-2007,Representative,Democrat,MO,91(1969-1970),J.D.,Harvard Law School,1969," Cambridge, Mass."
104,"ICHORD, Richard Howard, II",http://bioguide.congress.gov/scripts/biodisplay.pl?index=I000001,1926-1992,Representative,Democrat,MO,91(1969-1970),B.S.,University of Missouri,1949,None
105,"ICHORD, Richard Howard, II",http://bioguide.congress.gov/scripts/biodisplay.pl?index=I000001,1926-1992,Representative,Democrat,MO,91(1969-1970),J.D.,University of Missouri,1952,None
106,"JACOBS, Andrew, Jr.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000033,1932-2013,Representative,Democrat,IN,91(1969-1970),LL.B.,Indiana University,1958," Indianapolis, Ind."
107,"JONES, Ed",http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000216,1912-1999,Representative,Democrat,TN,91(1969-1970),B.S.,University of Tennessee,1934,None
108,"JONES, Walter Beaman, Sr.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000256,1913-1992,Representative,Democrat,NC,91(1969-1970),B.S.,North Carolina State University,1934," Raleigh, N.C."
109,"KOCH, Edward Irving",http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000302,1924-2013,Representative,Democrat-Liberal,NY,91(1969-1970),LL.B.,New York University Law School,1948,None
110,"LAIRD, Melvin Robert",http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000024,1922- ,Representative,Republican,WI,91(1969-1970),B.A.,Carleton College,1944," Northfield, Minn."
111,"LONG, Clarence Dickinson",http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000413,1908-1994,Representative,Democrat,MD,91(1969-1970),B.A.,Washington and Jefferson College,1932," Washington, Pa."
112,"LONG, Clarence Dickinson",http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000413,1908-1994,Representative,Democrat,MD,91(1969-1970),M.A.,Princeton University,1935," Princeton, N.J."
113,"LONG, Clarence Dickinson",http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000413,1908-1994,Representative,Democrat,MD,91(1969-1970),Ph.D.,Princeton University,1938," Princeton, N.J."
114,"LOWENSTEIN, Allard Kenneth",http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000477,1929-1980,Representative,Democrat,NY,91(1969-1970),B.A.,University of North Carolina,1949,None
115,"LOWENSTEIN, Allard Kenneth",http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000477,1929-1980,Representative,Democrat,NY,91(1969-1970),LL.B.,Yale University,1954,None
116,"LUJÁN, Manuel, Jr.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000506,1928- ,Representative,Republican,NM,91(1969-1970),B.A.,College of Santa Fe,1950," Santa Fe, N.Mex."
117,"MANN, James Robert",http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000105,1920-2010,Representative,Democrat,SC,91(1969-1970),B.A.,The Citadel,1941," Charleston, S.C."
118,"MANN, James Robert",http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000105,1920-2010,Representative,Democrat,SC,91(1969-1970),LL.B.,University of South Carolina Law School,1947," Columbia, S.C."
119,"MATHIAS, Robert Bruce (Bob)",http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000242,1930-2006,Representative,Republican,CA,91(1969-1970),B.A.,Stanford University,1953," Stanford, Calif."
120,"MAY, Catherine Dean",http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000273,1914-2004,Representative,Republican,WA,91(1969-1970),B.S.,University of Washington,1936," Seattle, Wash."
121,"MAYNE, Wiley",http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000286,1917-2007,Representative,Republican,IA,91(1969-1970),S.B.,Harvard College,1938," Cambridge, Mass."
122,"MAYNE, Wiley",http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000286,1917-2007,Representative,Republican,IA,91(1969-1970),J.D.,Iowa Law School,1941,None
123,"McCLOSKEY, Paul Norton , Jr. (Pete)",http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000343,1927- ,Representative,Republican,CA,91(1969-1970),B.A.,Stanford University,1950," Stanford, Calif."
124,"McDADE, Joseph Michael",http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000399,1931- ,Representative,Republican,PA,91(1969-1970),LL.B.,University of Pennsylvania,1956,None
125,"McKNEALLY, Martin Boswell",http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000530,1914-1992,Representative,Republican,NY,91(1969-1970),A.B.,Holy Cross College,1936,None
126,"McKNEALLY, Martin Boswell",http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000530,1914-1992,Representative,Republican,NY,91(1969-1970),LL.B.,Fordham University Law School,1940,None
127,"MICHEL, Robert Henry",http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000692,1923- ,Representative,Republican,IL,91(1969-1970),B.S.,Bradley University,1948," Peoria, Ill."
128,"MIKVA, Abner Joseph",http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000703,1926- ,Representative,Democrat,IL,91(1969-1970),J.D.,University of Chicago Law School,1951," Chicago, Ill."
129,"MINK, Patsy Takemoto",http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000797,1927-2002,Representative,Democrat,HI,91(1969-1970),B.A.,University of Hawaii,1948," Manoa, Hawaii"
130,"MINK, Patsy Takemoto",http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000797,1927-2002,Representative,Democrat,HI,91(1969-1970),J.D.,University of Chicago Law School,1951," Chicago, Ill."
131,"MORSE, Frank Bradford",http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001009,1921-1994,Representative,Republican,MA,91(1969-1970),B.S.,Boston University,1948," Boston, Mass."
132,"MOSHER, Charles Adams",http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001031,1906-1984,Representative,Republican,OH,91(1969-1970),M.A.,Oberlin College,1982,None
133,"MYERS, John Thomas",http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001130,1927-2015,Representative,Republican,IN,91(1969-1970),B.S.,Indiana State University,1951," Terre Haute, Ind."
134,"NATCHER, William Huston",http://bioguide.congress.gov/scripts/biodisplay.pl?index=N000009,1909-1994,Representative,Democrat,KY,91(1969-1970),B.A.,Western Kentucky State College,1933," Bowling Green, Ky., 1930 and from Ohio State University, Columbus, Ohio, LL.B."
135,"NEDZI, Lucien Norbert",http://bioguide.congress.gov/scripts/biodisplay.pl?index=N000019,1925- ,Representative,Democrat,MI,91(1969-1970),B.A.,University of Michigan,1948," Ann Arbor, Mich."
136,"NEDZI, Lucien Norbert",http://bioguide.congress.gov/scripts/biodisplay.pl?index=N000019,1925- ,Representative,Democrat,MI,91(1969-1970),J.D.,University of Michigan Law School,1951," Ann Arbor, Mich."
137,"NICHOLS, William Flynt",http://bioguide.congress.gov/scripts/biodisplay.pl?index=N000095,1918-1988,Representative,Democrat,AL,91(1969-1970),B.S.,Auburn University,1939,None
138,"NIX, Robert Nelson Cornelius, Sr.",http://bioguide.congress.gov/scripts/biodisplay.pl?index=N000113,1898-1987,Representative,Democrat,PA,91(1969-1970),B.A.,Lincoln University,1921," Oxford, Pa."
139,"OBEY, David Ross",http://bioguide.congress.gov/scripts/biodisplay.pl?index=O000007,1938- ,Representative,Democrat,WI,91(1969-1970),B.S.,University of Wisconsin,1960," Madison, Wis."
140,"OBEY, David Ross",http://bioguide.congress.gov/scripts/biodisplay.pl?index=O000007,1938- ,Representative,Democrat,WI,91(1969-1970),M.A.,University of Wisconsin,1962," Madison, Wis."
141,"OTTINGER, Richard Lawrence",http://bioguide.congress.gov/scripts/biodisplay.pl?index=O000134,1929- ,Representative,Democrat,NY,91(1969-1970),B.A.,Cornell University,1950,None
142,"PICKLE, James Jarrell (Jake)",http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000328,1913-2005,Representative,Democrat,TX,91(1969-1970),B.A.,University of Texas,1938," Austin, Tex."
